SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #5011,Chicago,IL,60613,160000,1,1.0,CHI - Lake View,750,,1973,163,213,651,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-5011/home/12609320,MRED,11069384,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,4250 N Marine Dr #2831,Chicago,IL,60613,174000,1,1.0,CHI - Uptown,906,,1964,164,192,564,Active,,,http://www.redfin.com/IL/Chicago/4250-N-Marine-Dr-60613/unit-2831/home/13396474,MRED,11067842,N,Y,41.9598845,-87.647122
MLS Listing,,Condo/Co-op,3930 N Pine Grove Ave #2010,Chicago,IL,60613,164900,1,1.0,CHI - Lake View,750,,1968,165,220,649,Active,,,http://www.redfin.com/IL/Chicago/3930-N-Pine-Grove-Ave-60613/unit-2010/home/13380667,MRED,11066494,N,Y,41.9542371,-87.648457
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #2210,Chicago,IL,60613,275000,2,2.0,CHI - Lake View,1200,,1973,176,229,840,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-2210/home/18951409,MRED,11055297,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #1310,Chicago,IL,60613,299000,2,2.0,CHI - Lake View,1150,,1973,184,260,874,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-1310/home/12683764,MRED,11045294,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,4250 N Marine Dr #634,Chicago,IL,60613,114900,0,1.0,CHI - Uptown,525,,1962,186,219,350,Active,,,http://www.redfin.com/IL/Chicago/4250-N-Marine-Dr-60613/unit-634/home/13396705,MRED,11042904,N,Y,41.9598845,-87.647122
MLS Listing,,Condo/Co-op,4250 N Marine Dr #824,Chicago,IL,60613,149500,1,1.0,Imperial Towers,900,,1962,198,166,557,Active,,,http://www.redfin.com/IL/Chicago/4250-N-Marine-Dr-60613/unit-824/home/13397216,MRED,11030906,N,Y,41.9598845,-87.647122
MLS Listing,,Condo/Co-op,3950 N Lake Shore Dr #407,Chicago,IL,60613,159000,2,1.0,CHI - Lake View,900,,1955,198,177,663,Active,,,http://www.redfin.com/IL/Chicago/3950-N-Lake-Shore-Dr-60613/unit-407/home/13380560,MRED,11030801,N,Y,41.954247,-87.6458578
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #4008,Chicago,IL,60613,187000,1,1.0,CHI - Lake View,840,,1976,211,223,631,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-4008/home/12683123,MRED,11017702,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,3800 N Lake Shore Dr Unit 1C,Chicago,IL,60613,299000,1,1.0,CHI - Lake View,1100,,1927,242,272,784,Active,,,http://www.redfin.com/IL/Chicago/3800-N-Lake-Shore-Dr-60613/unit-1C/home/13379307,MRED,10989939,N,Y,41.9526534,-87.645509
